F,65 and over,New Homestead,0.0
M,under 16,Hazelwood,0.0403114886414
F,under 16,Hazelwood,0.0
M,16 to 20,Hazelwood,0.0362837678932
F,16 to 20,Hazelwood,0.00911725566863
M,21 to 34,Hazelwood,0.0585629335636
F,21 to 34,Hazelwood,0.0226508621849
M,35 to 44,Hazelwood,0.0227248253509
F,35 to 44,Hazelwood,0.00915838196409
M,45 to 64,Hazelwood,0.0629975278734
F,45 to 64,Hazelwood,0.00913469417602
M,65 and over,Hazelwood,0.0
F,65 and over,Hazelwood,0.0
M,under 16,Point Breeze North,0.00903296537756
F,under 16,Point Breeze North,0.0
M,16 to 20,Point Breeze North,0.00454674325838
F,16 to 20,Point Breeze North,0.0
M,21 to 34,Point Breeze North,0.0226801391725
F,21 to 34,Point Breeze North,0.00454362071692
M,35 to 44,Point Breeze North,0.0
F,35 to 44,Point Breeze North,0.0
M,45 to 64,Point Breeze North,0.00906087085545
F,45 to 64,Point Breeze North,0.00459428074895
M,65 and over,Point Breeze North,0.0
F,65 and over,Point Breeze North,0.0
M,under 16,Homewood South,0.0
F,under 16,Homewood South,0.0
M,16 to 20,Homewood South,0.00907478370598
F,16 to 20,Homewood South,0.00452919041577
M,21 to 34,Homewood South,0.0894507543682
F,21 to 34,Homewood South,0.0848799626541
M,35 to 44,Homewood South,0.0360305383975
F,35 to 44,Homewood South,0.0226744443845
M,45 to 64,Homewood South,0.0714666232009
F,45 to 64,Homewood South,0.0405921692532
M,65 and over,Homewood South,0.00908055217748
F,65 and over,Homewood South,0.0
M,under 16,East Liberty,0.0449888206572
F,under 16,East Liberty,0.0135368825173
M,16 to 20,East Liberty,0.0717753548285
F,16 to 20,East Liberty,0.0317821377788
M,21 to 34,East Liberty,0.181979517233
F,21 to 34,East Liberty,0.08891021281
M,35 to 44,East Liberty,0.0934530931394
F,35 to 44,East Liberty,0.004566715381
M,45 to 64,East Liberty,0.102270946173
F,45 to 64,East Liberty,0.00911107710759
M,65 and over,East Liberty,0.00456851959079
F,65 and over,East Liberty,0.00906209776158
M,under 16,East Hills,0.0361712783301
F,under 16,East Hills,0.0
M,16 to 20,East Hills,0.0225137672866
F,16 to 20,East Hills,0.00904591658126
M,21 to 34,East Hills,0.148651288617
F,21 to 34,East Hills,0.0761953621062
M,35 to 44,East Hills,0.0585551899028
F,35 to 44,East Hills,0.0181873757136
M,45 to 64,East Hills,0.0180459405525
F,45 to 64,East Hills,0.0
M,65 and over,East Hills,0.0
F,65 and over,East Hills,0.0
M,under 16,Larimer,0.00458911508675
F,under 16,Larimer,0.0
M,16 to 20,Larimer,0.0316503493749
F,16 to 20,Larimer,0.0
M,21 to 34,Larimer,0.132187914858
F,21 to 34,Larimer,0.0136395211668
M,35 to 44,Larimer,0.0271729951872
F,35 to 44,Larimer,0.00458214950915
M,45 to 64,Larimer,0.0181164696758
F,45 to 64,Larimer,0.0136278989131
M,65 and over,Larimer,0.0137417295087
F,65 and over,Larimer,0.0
M,under 16,Homewood North,0.0181763335984
F,under 16,Homewood North,0.00912250698991
M,16 to 20,Homewood North,0.0756461170991
F,16 to 20,Homewood North,0.0136377160533
M,21 to 34,Homewood North,0.169965528362
F,21 to 34,Homewood North,0.0674788966544
M,35 to 44,Homewood North,0.0406372319966
F,35 to 44,Homewood North,0.0405544566955
M,45 to 64,Homewood North,0.0361932420148
